applicant_id,model,method,rank,feature_index,feature_name,is_categorical,attribution_value,abs_attribution,original_prob,perturbed_prob_pos,perturbed_prob_neg,delta_pos,delta_neg,max_abs_delta,local_sensitivity_S_k,pass_materiality,pass_direction,pass_rank,rank_status,is_verified,display_decision,abstention_status
0,GradientBoosting,SHAP,1,2,debt_to_income,False,3.145299894763028,3.145299894763028,0.9981137633836593,0.9979680434085133,0.9987379917458076,-0.0001457199751460081,0.0006242283621482603,0.0006242283621482603,-0.004172274235876396,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
0,GradientBoosting,SHAP,2,1,credit_score,False,1.9430520159325078,1.9430520159325078,0.9981137633836593,0.9994345533287805,0.9963588328676456,0.0013207899451211924,-0.0017549305160137196,0.0017549305160137196,0.017430174187014,False,True,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
0,GradientBoosting,SHAP,3,0,income,False,0.7969362481334242,0.7969362481334242,0.9981137633836593,0.9987449841403385,0.9990303143112512,0.0006312207566792072,0.0009165509275919081,0.0009165509275919081,-0.0019887732926860057,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
1,GradientBoosting,SHAP,1,2,debt_to_income,False,4.831785232999336,4.831785232999336,0.12347640121281916,0.12347640121281916,0.12347640121281916,0.0,0.0,0.0,0.0,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
1,GradientBoosting,SHAP,2,0,income,False,-3.072100149630787,3.072100149630787,0.12347640121281916,0.12347640121281916,0.12347640121281916,0.0,0.0,0.0,0.0,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
1,GradientBoosting,SHAP,3,1,credit_score,False,-1.1824529934893777,1.1824529934893777,0.12347640121281916,0.11075431543457473,0.08791568382301856,-0.012722085778244435,-0.0355607173898006,0.0355607173898006,0.1294270179012237,True,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
2,GradientBoosting,SHAP,1,0,income,False,-3.3483989709834896,3.3483989709834896,0.11412777613828694,0.13338077353861127,0.10052675613378795,0.019252997400324337,-0.01360102000449899,0.019252997400324337,0.22899503464057025,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
2,GradientBoosting,SHAP,2,2,debt_to_income,False,2.7164232121138654,2.7164232121138654,0.11412777613828694,0.11412777613828694,0.1471353758684072,0.0,0.033007599730120254,0.033007599730120254,-0.17886493323183442,True,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
2,GradientBoosting,SHAP,3,1,credit_score,False,-1.0408756124749206,1.0408756124749206,0.11412777613828694,0.24932738773576488,0.04948640983293728,0.13519961159747795,-0.06464136630534967,0.13519961159747795,1.1325031317261551,True,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
3,GradientBoosting,SHAP,1,0,income,False,4.647651137493863,4.647651137493863,0.9991717864995853,0.9991717864995853,0.9990544151856744,0.0,-0.00011737131391087452,0.00011737131391087452,0.0008180871083024408,False,True,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
3,GradientBoosting,SHAP,2,2,debt_to_income,False,3.057207313580883,3.057207313580883,0.9991717864995853,0.9983111526842442,0.9991717864995853,-0.000860633815341072,0.0,0.000860633815341072,-0.004663689913131381,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
3,GradientBoosting,SHAP,3,1,credit_score,False,-0.5528952883668123,0.5528952883668123,0.9991717864995853,0.9991717864995853,0.9982397143001518,0.0,-0.0009320721994334757,0.0009320721994334757,0.005282073256099499,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
4,GradientBoosting,SHAP,1,2,debt_to_income,False,4.078551111651285,4.078551111651285,0.9997993870229349,0.9997993870229349,0.9997993870229349,0.0,0.0,0.0,0.0,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
4,GradientBoosting,SHAP,2,6,age,False,1.9996761547054784,1.9996761547054784,0.9997993870229349,0.9997993870229349,0.9997993870229349,0.0,0.0,0.0,0.0,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
4,GradientBoosting,SHAP,3,0,income,False,1.3241735973635596,1.3241735973635596,0.9997993870229349,0.9996144678997043,0.9994447973139209,-0.000184919123230598,-0.0003545897090140304,0.0003545897090140304,0.0011826170659804554,False,True,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
5,GradientBoosting,SHAP,1,2,debt_to_income,False,3.535057900777421,3.535057900777421,0.9998719129589928,0.9998719129589928,0.9998719129589928,0.0,0.0,0.0,0.0,False,False,False,N/A_ZERO_VARIANCE,False,SUPPRESS_UNVERIFIED,ABSTAIN
5,GradientBoosting,SHAP,2,1,credit_score,False,2.7151726363088424,2.7151726363088424,0.9998719129589928,0.9998719129589928,0.9998719129589928,0.0,0.0,0.0,0.0,False,False,False,N/A_ZERO_VARIANCE,False,SUPPRESS_UNVERIFIED,ABSTAIN
5,GradientBoosting,SHAP,3,0,income,False,2.2792271222622635,2.2792271222622635,0.9998719129589928,0.9998719129589928,0.9998719129589928,0.0,0.0,0.0,0.0,False,False,False,N/A_ZERO_VARIANCE,False,SUPPRESS_UNVERIFIED,ABSTAIN
6,GradientBoosting,SHAP,1,2,debt_to_income,False,-5.677548603159779,5.677548603159779,0.0016934252007980834,0.0016934252007980834,0.003472878505831679,0.0,0.0017794533050335957,0.0017794533050335957,-0.009642682267004139,False,True,True,VALID_RANK,False,SUPPRESS_UNVERIFIED,ABSTAIN
6,GradientBoosting,SHAP,2,1,credit_score,False,2.0988726840509946,2.0988726840509946,0.0016934252007980834,0.0014655282004930508,0.0013197112617079245,-0.0002278970003050326,-0.00037371393909015884,0.00037371393909015884,0.0008263477369149718,False,True,True,VALID_RANK,False,SUPPRESS_UNVERIFIED,ABSTAIN
6,GradientBoosting,SHAP,3,0,income,False,-1.5959317391086645,1.5959317391086645,0.0016934252007980834,0.0016934252007980834,0.0016934252007980834,0.0,0.0,0.0,0.0,False,False,True,VALID_RANK,False,SUPPRESS_UNVERIFIED,ABSTAIN
7,GradientBoosting,SHAP,1,1,credit_score,False,-4.13217088714617,4.13217088714617,0.015018671877836766,0.015018671877836766,0.012024766716869324,0.0,-0.0029939051609674423,0.0029939051609674423,0.02114682651400385,False,False,False,RANK_MISMATCH,False,SUPPRESS_UNVERIFIED,ABSTAIN
