applicant_id,model,method,rank,feature_index,feature_name,attribution_value,abs_attribution,feature_value
0,LogisticRegression,LIME,1,17,purpose_A41,-0.168774033428166,0.168774033428166,0.0
0,LogisticRegression,LIME,2,23,purpose_A46,0.13947586612432514,0.13947586612432514,0.0
0,LogisticRegression,LIME,3,7,status_checking_account_A11,-0.1350862202786035,0.1350862202786035,1.0
0,LogisticRegression,LIME,4,10,status_checking_account_A14,-0.12696291380190583,0.12696291380190583,0.0
0,LogisticRegression,LIME,5,15,credit_history_A34,-0.12354793127355906,0.12354793127355906,0.0
1,LogisticRegression,LIME,1,17,purpose_A41,-0.17456000851953274,0.17456000851953274,0.0
1,LogisticRegression,LIME,2,7,status_checking_account_A11,-0.13265417041194197,0.13265417041194197,1.0
1,LogisticRegression,LIME,3,23,purpose_A46,0.13107080370465454,0.13107080370465454,0.0
1,LogisticRegression,LIME,4,15,credit_history_A34,0.13082782388755013,0.13082782388755013,1.0
1,LogisticRegression,LIME,5,1,credit_amount,-0.12750995689095204,0.12750995689095204,0.7456076869960395
2,LogisticRegression,LIME,1,17,purpose_A41,-0.16975010256191414,0.16975010256191414,0.0
2,LogisticRegression,LIME,2,23,purpose_A46,0.139081713415091,0.139081713415091,0.0
2,LogisticRegression,LIME,3,7,status_checking_account_A11,0.13438286533607602,0.13438286533607602,0.0
2,LogisticRegression,LIME,4,1,credit_amount,-0.12741114554322105,0.12741114554322105,0.6919014886379068
2,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.12727610472470063,0.12727610472470063,0.0
3,LogisticRegression,LIME,1,17,purpose_A41,-0.16957263572959683,0.16957263572959683,0.0
3,LogisticRegression,LIME,2,23,purpose_A46,-0.1322329067156494,0.1322329067156494,1.0
3,LogisticRegression,LIME,3,7,status_checking_account_A11,0.12872693710396374,0.12872693710396374,0.0
3,LogisticRegression,LIME,4,15,credit_history_A34,-0.12640837985768114,0.12640837985768114,0.0
3,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.1232906331732161,0.1232906331732161,0.0
4,LogisticRegression,LIME,1,17,purpose_A41,-0.1730659518161346,0.1730659518161346,0.0
4,LogisticRegression,LIME,2,23,purpose_A46,0.13292628250385286,0.13292628250385286,0.0
4,LogisticRegression,LIME,3,10,status_checking_account_A14,0.12799040789658603,0.12799040789658603,1.0
4,LogisticRegression,LIME,4,7,status_checking_account_A11,0.12517023440842742,0.12517023440842742,0.0
4,LogisticRegression,LIME,5,15,credit_history_A34,-0.12344093173444731,0.12344093173444731,0.0
5,LogisticRegression,LIME,1,17,purpose_A41,-0.16881576800436426,0.16881576800436426,0.0
5,LogisticRegression,LIME,2,23,purpose_A46,0.14433873701807087,0.14433873701807087,0.0
5,LogisticRegression,LIME,3,15,credit_history_A34,-0.12433729620710131,0.12433729620710131,0.0
5,LogisticRegression,LIME,4,7,status_checking_account_A11,0.1214788332942179,0.1214788332942179,0.0
5,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.12121817303812606,0.12121817303812606,0.0
6,LogisticRegression,LIME,1,17,purpose_A41,-0.17046367649528196,0.17046367649528196,0.0
6,LogisticRegression,LIME,2,23,purpose_A46,0.15188479278770714,0.15188479278770714,0.0
6,LogisticRegression,LIME,3,15,credit_history_A34,0.13099122608361868,0.13099122608361868,1.0
6,LogisticRegression,LIME,4,7,status_checking_account_A11,0.13074330036464515,0.13074330036464515,0.0
6,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.12300052708005448,0.12300052708005448,0.0
7,LogisticRegression,LIME,1,17,purpose_A41,-0.17309613419165926,0.17309613419165926,0.0
7,LogisticRegression,LIME,2,23,purpose_A46,0.14713825476544984,0.14713825476544984,0.0
7,LogisticRegression,LIME,3,15,credit_history_A34,-0.13348968164192032,0.13348968164192032,0.0
7,LogisticRegression,LIME,4,7,status_checking_account_A11,-0.1331383550885312,0.1331383550885312,1.0
7,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.1273306354143433,0.1273306354143433,0.0
8,LogisticRegression,LIME,1,17,purpose_A41,-0.17165722688678542,0.17165722688678542,0.0
8,LogisticRegression,LIME,2,23,purpose_A46,0.14435940391091423,0.14435940391091423,0.0
8,LogisticRegression,LIME,3,1,credit_amount,-0.1352267260831747,0.1352267260831747,0.564080736545551
8,LogisticRegression,LIME,4,7,status_checking_account_A11,0.13083449602416825,0.13083449602416825,0.0
8,LogisticRegression,LIME,5,15,credit_history_A34,-0.1268861037446893,0.1268861037446893,0.0
9,LogisticRegression,LIME,1,17,purpose_A41,-0.16519515631624704,0.16519515631624704,0.0
9,LogisticRegression,LIME,2,23,purpose_A46,0.13188639202032787,0.13188639202032787,0.0
9,LogisticRegression,LIME,3,7,status_checking_account_A11,0.1313566711191461,0.1313566711191461,0.0
9,LogisticRegression,LIME,4,15,credit_history_A34,-0.12447008172685552,0.12447008172685552,0.0
9,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.12257385478425559,0.12257385478425559,0.0
10,LogisticRegression,LIME,1,17,purpose_A41,-0.16723679339313174,0.16723679339313174,0.0
10,LogisticRegression,LIME,2,23,purpose_A46,0.16218514691919517,0.16218514691919517,0.0
10,LogisticRegression,LIME,3,7,status_checking_account_A11,0.1363954765150751,0.1363954765150751,0.0
10,LogisticRegression,LIME,4,15,credit_history_A34,-0.12347042688212698,0.12347042688212698,0.0
10,LogisticRegression,LIME,5,10,status_checking_account_A14,0.12248954415766557,0.12248954415766557,1.0
11,LogisticRegression,LIME,1,17,purpose_A41,-0.17151401473215772,0.17151401473215772,0.0
11,LogisticRegression,LIME,2,23,purpose_A46,0.15945483542261765,0.15945483542261765,0.0
11,LogisticRegression,LIME,3,7,status_checking_account_A11,-0.13094540000999066,0.13094540000999066,1.0
11,LogisticRegression,LIME,4,15,credit_history_A34,-0.12548736126427265,0.12548736126427265,0.0
11,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.12411528146417386,0.12411528146417386,0.0
12,LogisticRegression,LIME,1,17,purpose_A41,-0.18259944969487749,0.18259944969487749,0.0
12,LogisticRegression,LIME,2,23,purpose_A46,0.15132231994862064,0.15132231994862064,0.0
12,LogisticRegression,LIME,3,15,credit_history_A34,-0.12967089707495852,0.12967089707495852,0.0
12,LogisticRegression,LIME,4,7,status_checking_account_A11,0.12510217542878524,0.12510217542878524,0.0
12,LogisticRegression,LIME,5,10,status_checking_account_A14,0.12458690564540913,0.12458690564540913,1.0
13,LogisticRegression,LIME,1,17,purpose_A41,-0.16751969961455507,0.16751969961455507,0.0
13,LogisticRegression,LIME,2,23,purpose_A46,0.14445053821520837,0.14445053821520837,0.0
13,LogisticRegression,LIME,3,15,credit_history_A34,0.13108726663045397,0.13108726663045397,1.0
13,LogisticRegression,LIME,4,7,status_checking_account_A11,0.12742760850018434,0.12742760850018434,0.0
13,LogisticRegression,LIME,5,10,status_checking_account_A14,0.1185963051845668,0.1185963051845668,1.0
14,LogisticRegression,LIME,1,17,purpose_A41,-0.16121665298049767,0.16121665298049767,0.0
14,LogisticRegression,LIME,2,23,purpose_A46,0.12946966585201633,0.12946966585201633,0.0
14,LogisticRegression,LIME,3,15,credit_history_A34,0.12578857538279017,0.12578857538279017,1.0
14,LogisticRegression,LIME,4,7,status_checking_account_A11,0.12501521459694698,0.12501521459694698,0.0
14,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.12102677714845803,0.12102677714845803,0.0
15,LogisticRegression,LIME,1,17,purpose_A41,-0.17164136752816472,0.17164136752816472,0.0
15,LogisticRegression,LIME,2,23,purpose_A46,0.14651540318851816,0.14651540318851816,0.0
15,LogisticRegression,LIME,3,7,status_checking_account_A11,-0.13422796118569746,0.13422796118569746,1.0
15,LogisticRegression,LIME,4,15,credit_history_A34,-0.12913652738865525,0.12913652738865525,0.0
15,LogisticRegression,LIME,5,10,status_checking_account_A14,-0.12692058712909507,0.12692058712909507,0.0
16,LogisticRegression,LIME,1,17,purpose_A41,-0.16455847756028044,0.16455847756028044,0.0
16,LogisticRegression,LIME,2,23,purpose_A46,-0.15370269732376907,0.15370269732376907,1.0
16,LogisticRegression,LIME,3,10,status_checking_account_A14,0.1256967662165182,0.1256967662165182,1.0
16,LogisticRegression,LIME,4,15,credit_history_A34,0.1229039481150872,0.1229039481150872,1.0
